"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","APR","","STATE","ALABAMA","01","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","APR","","STATE","ALABAMA","01","","","","","","","00000000","","COTTON","COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","3.4",""
"SURVEY","2025","APR","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.261",""
"SURVEY","2025","APR","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","4.5",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","COTTON","COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","7.3",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","215",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","185",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","215",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2025","APR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.634",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","COTTON","COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","6.4",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.241",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","0.1",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.2",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (S)",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2025","APR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (S)",""
"SURVEY","2025","APR","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
