"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2026","FIRST OF FEB","","STATE","ALABAMA","01","","","","","","","00000000","","COTTON","COTTON - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","547,600",""
"SURVEY","2026","FIRST OF FEB","","STATE","ALABAMA","01","","","","","","","00000000","","COTTON","COTTON, UPLAND - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","547,600",""
"SURVEY","2026","FIRST OF FEB","","STATE","ARIZONA","04","","","","","","","00000000","","COTTON","COTTON - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","211,500",""
"SURVEY","2026","FIRST OF FEB","","STATE","ARIZONA","04","","","","","","","00000000","","COTTON","COTTON, PIMA - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2026","FIRST OF FEB","","STATE","ARIZONA","04","","","","","","","00000000","","COTTON","COTTON, UPLAND - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2026","FIRST OF FEB","","STATE","ARKANSAS","05","","","","","","","00000000","","COTTON","COTTON - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","1,393,900",""
"SURVEY","2026","FIRST OF FEB","","STATE","ARKANSAS","05","","","","","","","00000000","","COTTON","COTTON, UPLAND - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","1,393,900",""
"SURVEY","2026","FIRST OF FEB","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","381,150",""
"SURVEY","2026","FIRST OF FEB","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, PIMA - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","299,550",""
"SURVEY","2026","FIRST OF FEB","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, UPLAND - GINNED BALES, MEASURED IN RUNNING BALES","TOTAL","NOT SPECIFIED","81,600",""
